code,npi_number,short_description,long_description
0099U,1497708473,,"Respiratory pathogen, multiplex reverse transcription and multiplex amplified probe technique, multiple types or subtypes, 20 targets (adenovirus, coronavirus 229E, coronavirus HKU1, coronavirus, coronavirus OC43, human metapneumovirus, influenza A, influenza A subtype, influenza A subtype H3, influenza A subtype H1-2009, influenza, parainfluenza virus, parainfluenza virus 2, parainfluenza virus 3, parainfluenza virus 4, human rhinovirus/enterovirus, respiratory syncytial virus, Bordetella pertussis, Chlamydophila pneumonia, Mycoplasma pneumoniae)"
10005,1497708473,,"Fine needle aspiration biopsy, including ultrasound guidance; first lesion"
10009,1497708473,,"Fine needle aspiration biopsy, including CT guidance; first lesion"
10030,1497708473,,"Image-guided fluid collection drainage by catheter (eg, abscess, hematoma, seroma, lymphocele, cyst), soft tissue (eg, extremity, abdominal wall, neck), percutaneous"
10060,1497708473,,"Incision and drainage of abscess (eg, carbuncle, suppurative hidradenitis, cutaneous or subcutaneous abscess, cyst, furuncle, or paronychia); simple or single"
10061,1497708473,,"Incision and drainage of abscess (eg, carbuncle, suppurative hidradenitis, cutaneous or subcutaneous abscess, cyst, furuncle, or paronychia); complicated or multiple"
10120,1497708473,,"Incision and removal of foreign body, subcutaneous tissues; simple"
10140,1497708473,,"Incision and drainage of hematoma, seroma or fluid collection"
10160,1497708473,,"Puncture aspiration of abscess, hematoma, bulla, or cyst"
11042,1497708473,,"Debridement, subcutaneous tissue (includes epidermis and dermis, if performed); first 20 sq cm or less"
11043,1497708473,,"Debridement, muscle and/or fascia (includes epidermis, dermis, and subcutaneous tissue, if performed); first 20 sq cm or less"
11044,1497708473,,"Debridement, bone (includes epidermis, dermis, subcutaneous tissue, muscle and/or fascia, if performed); first 20 sq cm or less"
11045,1497708473,,"Debridement, subcutaneous tissue (includes epidermis and dermis, if performed); each additional 20 sq cm, or part thereof (List separately in addition to code for primary procedure)"
11046,1497708473,,"Debridement, muscle and/or fascia (includes epidermis, dermis, and subcutaneous tissue, if performed); each additional 20 sq cm, or part thereof (List separately in addition to code for primary procedure)"
11047,1497708473,,"Debridement, bone (includes epidermis, dermis, subcutaneous tissue, muscle and/or fascia, if performed); each additional 20 sq cm, or part thereof (List separately in addition to code for primary procedure)"
11055,1497708473,,"Paring or cutting of benign hyperkeratotic lesion (eg, corn or callus); single lesion"
11056,1497708473,,"Paring or cutting of benign hyperkeratotic lesion (eg, corn or callus); 2 to 4 lesions"
11057,1497708473,,"Paring or cutting of benign hyperkeratotic lesion (eg, corn or callus); more than 4 lesions"
11105,1497708473,,"Punch biopsy of skin (including simple closure, when performed); each separate/additional lesion (List separately in addition to code for primary procedure)"
11720,1497708473,,Debridement of nail(s) by any method(s); 1 to 5
11721,1497708473,,Debridement of nail(s) by any method(s); 6 or more
11730,1497708473,,"Avulsion of nail plate, partial or complete, simple; single"
16000,1497708473,,"Initial treatment, first degree burn, when no more than local treatment is required"
16020,1497708473,,"Dressings and/or debridement of partial-thickness burns, initial or subsequent; small (less than 5% total body surface area)"
