code,npi_number,short_description,long_description
0234T,1326113762,,"Transluminal peripheral atherectomy, open or percutaneous, including radiological supervision and interpretation; renal artery"
10004,1326113762,,"Fine needle aspiration biopsy, without imaging guidance; each additional lesion (List separately in addition to code for primary procedure)"
10005,1326113762,,"Fine needle aspiration biopsy, including ultrasound guidance; first lesion"
10006,1326113762,,"Fine needle aspiration biopsy, including ultrasound guidance; each additional lesion (List separately in addition to code for primary procedure)"
10021,1326113762,,"Fine needle aspiration biopsy, without imaging guidance; first lesion"
10060,1326113762,,"Incision and drainage of abscess (eg, carbuncle, suppurative hidradenitis, cutaneous or subcutaneous abscess, cyst, furuncle, or paronychia); simple or single"
10061,1326113762,,"Incision and drainage of abscess (eg, carbuncle, suppurative hidradenitis, cutaneous or subcutaneous abscess, cyst, furuncle, or paronychia); complicated or multiple"
10080,1326113762,,Incision and drainage of pilonidal cyst; simple
10120,1326113762,,"Incision and removal of foreign body, subcutaneous tissues; simple"
10140,1326113762,,"Incision and drainage of hematoma, seroma or fluid collection"
10160,1326113762,,"Puncture aspiration of abscess, hematoma, bulla, or cyst"
11042,1326113762,,"Debridement, subcutaneous tissue (includes epidermis and dermis, if performed); first 20 sq cm or less"
11043,1326113762,,"Debridement, muscle and/or fascia (includes epidermis, dermis, and subcutaneous tissue, if performed); first 20 sq cm or less"
11044,1326113762,,"Debridement, bone (includes epidermis, dermis, subcutaneous tissue, muscle and/or fascia, if performed); first 20 sq cm or less"
11045,1326113762,,"Debridement, subcutaneous tissue (includes epidermis and dermis, if performed); each additional 20 sq cm, or part thereof (List separately in addition to code for primary procedure)"
11046,1326113762,,"Debridement, muscle and/or fascia (includes epidermis, dermis, and subcutaneous tissue, if performed); each additional 20 sq cm, or part thereof (List separately in addition to code for primary procedure)"
11055,1326113762,,"Paring or cutting of benign hyperkeratotic lesion (eg, corn or callus); single lesion"
11056,1326113762,,"Paring or cutting of benign hyperkeratotic lesion (eg, corn or callus); 2 to 4 lesions"
11057,1326113762,,"Paring or cutting of benign hyperkeratotic lesion (eg, corn or callus); more than 4 lesions"
11102,1326113762,,"Tangential biopsy of skin (eg, shave, scoop, saucerize, curette); single lesion"
11104,1326113762,,"Punch biopsy of skin (including simple closure, when performed); single lesion"
11106,1326113762,,"Incisional biopsy of skin (eg, wedge) (including simple closure, when performed); single lesion"
11200,1326113762,,"Removal of skin tags, multiple fibrocutaneous tags, any area; up to and including 15 lesions"
11400,1326113762,,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, arms or legs; excised diameter 0.5 cm or less"
11401,1326113762,,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, arms or legs; excised diameter 0.6 to 1.0 cm"
11402,1326113762,,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, arms or legs; excised diameter 1.1 to 2.0 cm"
11403,1326113762,,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, arms or legs; excised diameter 2.1 to 3.0 cm"
11404,1326113762,,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, arms or legs; excised diameter 3.1 to 4.0 cm"
11406,1326113762,,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, arms or legs; excised diameter over 4.0 cm"
11420,1326113762,,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; excised diameter 0.5 cm or less"
