code,npi_number,short_description,long_description
10005,1386720183,,"Fine needle aspiration biopsy, including ultrasound guidance; first lesion"
10021,1386720183,,"Fine needle aspiration biopsy, without imaging guidance; first lesion"
10060,1386720183,,"Incision and drainage of abscess (eg, carbuncle, suppurative hidradenitis, cutaneous or subcutaneous abscess, cyst, furuncle, or paronychia); simple or single"
10061,1386720183,,"Incision and drainage of abscess (eg, carbuncle, suppurative hidradenitis, cutaneous or subcutaneous abscess, cyst, furuncle, or paronychia); complicated or multiple"
10080,1386720183,,Incision and drainage of pilonidal cyst; simple
10120,1386720183,,"Incision and removal of foreign body, subcutaneous tissues; simple"
10140,1386720183,,"Incision and drainage of hematoma, seroma or fluid collection"
10160,1386720183,,"Puncture aspiration of abscess, hematoma, bulla, or cyst"
11042,1386720183,,"Debridement, subcutaneous tissue (includes epidermis and dermis, if performed); first 20 sq cm or less"
11043,1386720183,,"Debridement, muscle and/or fascia (includes epidermis, dermis, and subcutaneous tissue, if performed); first 20 sq cm or less"
11044,1386720183,,"Debridement, bone (includes epidermis, dermis, subcutaneous tissue, muscle and/or fascia, if performed); first 20 sq cm or less"
11045,1386720183,,"Debridement, subcutaneous tissue (includes epidermis and dermis, if performed); each additional 20 sq cm, or part thereof (List separately in addition to code for primary procedure)"
11046,1386720183,,"Debridement, muscle and/or fascia (includes epidermis, dermis, and subcutaneous tissue, if performed); each additional 20 sq cm, or part thereof (List separately in addition to code for primary procedure)"
11200,1386720183,,"Removal of skin tags, multiple fibrocutaneous tags, any area; up to and including 15 lesions"
11402,1386720183,,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, arms or legs; excised diameter 1.1 to 2.0 cm"
11403,1386720183,,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, arms or legs; excised diameter 2.1 to 3.0 cm"
11404,1386720183,,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, arms or legs; excised diameter 3.1 to 4.0 cm"
11406,1386720183,,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, arms or legs; excised diameter over 4.0 cm"
11423,1386720183,,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; excised diameter 2.1 to 3.0 cm"
11424,1386720183,,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; excised diameter 3.1 to 4.0 cm"
11426,1386720183,,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; excised diameter over 4.0 cm"
11442,1386720183,,"Excision, other benign lesion including margins, except skin tag (unless listed elsewhere), face, ears, eyelids, nose, lips, mucous membrane; excised diameter 1.1 to 2.0 cm"
11446,1386720183,,"Excision, other benign lesion including margins, except skin tag (unless listed elsewhere), face, ears, eyelids, nose, lips, mucous membrane; excised diameter over 4.0 cm"
11450,1386720183,,"Excision of skin and subcutaneous tissue for hidradenitis, axillary; with simple or intermediate repair"
