code,npi_number,short_description,long_description
0042T,1467763458,,"Cerebral perfusion analysis using computed tomography with contrast administration, including post-processing of parametric maps with determination of cerebral blood flow, cerebral blood volume, and mean transit time"
0296T,1467763458,,External electrocardiographic recording for more than 48 hours up to 21 days by continuous rhythm recording and storage; recording (includes connection and initial recording)
10060,1467763458,,"Incision and drainage of abscess (eg, carbuncle, suppurative hidradenitis, cutaneous or subcutaneous abscess, cyst, furuncle, or paronychia); simple or single"
10120,1467763458,,"Incision and removal of foreign body, subcutaneous tissues; simple"
12001,1467763458,,"Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 2.5 cm or less"
12002,1467763458,,"Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 2.6 cm to 7.5 cm"
12004,1467763458,,"Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 7.6 cm to 12.5 cm"
12005,1467763458,,"Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 12.6 cm to 20.0 cm"
12006,1467763458,,"Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 20.1 cm to 30.0 cm"
12007,1467763458,,"Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); over 30.0 cm"
12011,1467763458,,"Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 2.5 cm or less"
12013,1467763458,,"Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 2.6 cm to 5.0 cm"
12014,1467763458,,"Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 5.1 cm to 7.5 cm"
12032,1467763458,,"Repair, intermediate, wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet); 2.6 cm to 7.5 cm"
12034,1467763458,,"Repair, intermediate, wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet); 7.6 cm to 12.5 cm"
16000,1467763458,,"Initial treatment, first degree burn, when no more than local treatment is required"
16020,1467763458,,"Dressings and/or debridement of partial-thickness burns, initial or subsequent; small (less than 5% total body surface area)"
16025,1467763458,,"Dressings and/or debridement of partial-thickness burns, initial or subsequent; medium (eg, whole face or whole extremity, or 5% to 10% total body surface area)"
16030,1467763458,,"Dressings and/or debridement of partial-thickness burns, initial or subsequent; large (eg, more than 1 extremity, or greater than 10% total body surface area)"
20225,1467763458,,"Biopsy, bone, trocar, or needle; deep (eg, vertebral body, femur)"
20240,1467763458,,"Biopsy, bone, open; superficial (eg, sternum, spinous process, rib, patella, olecranon process, calcaneus, tarsal, metatarsal, carpal, metacarpal, phalanx)"
20605,1467763458,,"Arthrocentesis, aspiration and/or injection, intermediate joint or bursa (eg, temporomandibular, acromioclavicular, wrist, elbow or ankle, olecranon bursa); without ultrasound guidance"
21501,1467763458,,"Incision and drainage, deep abscess or hematoma, soft tissues of neck or thorax;"
23650,1467763458,,"Closed treatment of shoulder dislocation, with manipulation; without anesthesia"
24640,1467763458,,"Closed treatment of radial head subluxation in child, nursemaid elbow, with manipulation"
24655,1467763458,,Closed treatment of radial head or neck fracture; with manipulation
25605,1467763458,,"Closed treatment of distal radial fracture (eg, Colles or Smith type) or epiphyseal separation, includes closed treatment of fracture of ulnar styloid, when performed; with manipulation"
26010,1467763458,,Drainage of finger abscess; simple
26600,1467763458,,"Closed treatment of metacarpal fracture, single; without manipulation, each bone"
26770,1467763458,,"Closed treatment of interphalangeal joint dislocation, single, with manipulation; without anesthesia"
27096,1467763458,,"Injection procedure for sacroiliac joint, anesthetic/steroid, with image guidance (fluoroscopy or CT) including arthrography when performed"
27752,1467763458,,"Closed treatment of tibial shaft fracture (with or without fibular fracture); with manipulation, with or without skeletal traction"
27788,1467763458,,Closed treatment of distal fibular fracture (lateral malleolus); with manipulation
28660,1467763458,,Closed treatment of interphalangeal joint dislocation; without anesthesia
29065,1467763458,,"Application, cast; shoulder to hand (long arm)"
29075,1467763458,,"Application, cast; elbow to finger (short arm)"
29085,1467763458,,"Application, cast; hand and lower forearm (gauntlet)"
29105,1467763458,,Application of long arm splint (shoulder to hand)
29125,1467763458,,Application of short arm splint (forearm to hand); static
29126,1467763458,,Application of short arm splint (forearm to hand); dynamic
29130,1467763458,,Application of finger splint; static
29131,1467763458,,Application of finger splint; dynamic
29200,1467763458,,Strapping; thorax
29240,1467763458,,"Strapping; shoulder (eg, Velpeau)"
29260,1467763458,,Strapping; elbow or wrist
29280,1467763458,,Strapping; hand or finger
29345,1467763458,,Application of long leg cast (thigh to toes);
29365,1467763458,,Application of cylinder cast (thigh to ankle)
29405,1467763458,,Application of short leg cast (below knee to toes);
29445,1467763458,,Application of rigid total contact leg cast
29505,1467763458,,Application of long leg splint (thigh to ankle or toes)
29515,1467763458,,Application of short leg splint (calf to foot)
29520,1467763458,,Strapping; hip
29530,1467763458,,Strapping; knee
29540,1467763458,,Strapping; ankle and/or foot
29550,1467763458,,Strapping; toes
29580,1467763458,,Strapping; Unna boot
29581,1467763458,,"Application of multi-layer compression system; leg (below knee), including ankle and foot"
29584,1467763458,,"Application of multi-layer compression system; upper arm, forearm, hand, and fingers"
29700,1467763458,,"Removal or bivalving; gauntlet, boot or body cast"
29799,1467763458,,"Unlisted procedure, casting or strapping"
30300,1467763458,,"Removal foreign body, intranasal; office type procedure"
31500,1467763458,,"Intubation, endotracheal, emergency procedure"
32551,1467763458,,"Tube thoracostomy, includes connection to drainage system (eg, water seal), when performed, open (separate procedure)"
36011,1467763458,,"Selective catheter placement, venous system; first order branch (eg, renal vein, jugular vein)"
36251,1467763458,,"Selective catheter placement (first-order), main renal artery and any accessory renal artery(s) for renal angiography, including arterial puncture and catheter placement(s), fluoroscopy, contrast injection(s), image postprocessing, permanent recording of images, and radiological supervision and interpretation, including pressure gradient measurements when performed, and flush aortogram when performed; unilateral"
36252,1467763458,,"Selective catheter placement (first-order), main renal artery and any accessory renal artery(s) for renal angiography, including arterial puncture and catheter placement(s), fluoroscopy, contrast injection(s), image postprocessing, permanent recording of images, and radiological supervision and interpretation, including pressure gradient measurements when performed, and flush aortogram when performed; bilateral"
36410,1467763458,,"Venipuncture, age 3 years or older, necessitating the skill of a physician or other qualified health care professional (separate procedure), for diagnostic or therapeutic purposes (not to be used for routine venipuncture)"
36415,1467763458,,Collection of venous blood by venipuncture
36430,1467763458,,"Transfusion, blood or blood components"
36514,1467763458,,Therapeutic apheresis; for plasma pheresis
36582,1467763458,,"Replacement, complete, of a tunneled centrally inserted central venous access device, with subcutaneous port, through same venous access"
36591,1467763458,,Collection of blood specimen from a completely implantable venous access device
36598,1467763458,,"Contrast injection(s) for radiologic evaluation of existing central venous access device, including fluoroscopy, image documentation and report"
36600,1467763458,,"Arterial puncture, withdrawal of blood for diagnosis"
46083,1467763458,,"Incision of thrombosed hemorrhoid, external"
49083,1467763458,,Abdominal paracentesis (diagnostic or therapeutic); with imaging guidance
50389,1467763458,,"Removal of nephrostomy tube, requiring fluoroscopic guidance (eg, with concurrent indwelling ureteral stent)"
51700,1467763458,,"Bladder irrigation, simple, lavage and/or instillation"
51701,1467763458,,"Insertion of non-indwelling bladder catheter (eg, straight catheterization for residual urine)"
51702,1467763458,,"Insertion of temporary indwelling bladder catheter; simple (eg, Foley)"
51703,1467763458,,"Insertion of temporary indwelling bladder catheter; complicated (eg, altered anatomy, fractured catheter/balloon)"
51798,1467763458,,"Measurement of post-voiding residual urine and/or bladder capacity by ultrasound, non-imaging"
56405,1467763458,,Incision and drainage of vulva or perineal abscess
56420,1467763458,,Incision and drainage of Bartholin's gland abscess
59020,1467763458,,Fetal contraction stress test
59025,1467763458,,Fetal non-stress test
64400,1467763458,,"Injection(s), anesthetic agent(s) and/or steroid; trigeminal nerve, each branch (ie, ophthalmic, maxillary, mandibular)"
65220,1467763458,,"Removal of foreign body, external eye; corneal, without slit lamp"
69000,1467763458,,"Drainage external ear, abscess or hematoma; simple"
69200,1467763458,,Removal foreign body from external auditory canal; without general anesthesia
69209,1467763458,,"Removal impacted cerumen using irrigation/lavage, unilateral"
69210,1467763458,,"Removal impacted cerumen requiring instrumentation, unilateral"
70030,1467763458,,"Radiologic examination, eye, for detection of foreign body"
70100,1467763458,,"Radiologic examination, mandible; partial, less than 4 views"
70110,1467763458,,"Radiologic examination, mandible; complete, minimum of 4 views"
70130,1467763458,,"Radiologic examination, mastoids; complete, minimum of 3 views per side"
70140,1467763458,,"Radiologic examination, facial bones; less than 3 views"
70150,1467763458,,"Radiologic examination, facial bones; complete, minimum of 3 views"
70160,1467763458,,"Radiologic examination, nasal bones, complete, minimum of 3 views"
70200,1467763458,,"Radiologic examination; orbits, complete, minimum of 4 views"
70210,1467763458,,"Radiologic examination, sinuses, paranasal, less than 3 views"
70220,1467763458,,"Radiologic examination, sinuses, paranasal, complete, minimum of 3 views"
70250,1467763458,,"X-ray of skull, fewer than 4 views"
70260,1467763458,,"Radiologic examination, skull; complete, minimum of 4 views"
70328,1467763458,,"Radiologic examination, temporomandibular joint, open and closed mouth; unilateral"
70330,1467763458,,"Radiologic examination, temporomandibular joint, open and closed mouth; bilateral"
70336,1467763458,,"Magnetic resonance (eg, proton) imaging, temporomandibular joint(s)"
70360,1467763458,,"Radiologic examination; neck, soft tissue"
70390,1467763458,,"Sialography, radiological supervision and interpretation"
70450,1467763458,,"Computed tomography, head or brain; without contrast material"
70460,1467763458,,"Computed tomography, head or brain; with contrast material(s)"
70470,1467763458,,"Computed tomography, head or brain; without contrast material, followed by contrast material(s) and further sections"
70480,1467763458,,"Computed tomography, orbit, sella, or posterior fossa or outer, middle, or inner ear; without contrast material"
70481,1467763458,,"Computed tomography, orbit, sella, or posterior fossa or outer, middle, or inner ear; with contrast material(s)"
70482,1467763458,,"Computed tomography, orbit, sella, or posterior fossa or outer, middle, or inner ear; without contrast material, followed by contrast material(s) and further sections"
70486,1467763458,,"Computed tomography, maxillofacial area; without contrast material"
70487,1467763458,,"Computed tomography, maxillofacial area; with contrast material(s)"
70488,1467763458,,"Computed tomography, maxillofacial area; without contrast material, followed by contrast material(s) and further sections"
70490,1467763458,,"Computed tomography, soft tissue neck; without contrast material"
70491,1467763458,,"Computed tomography, soft tissue neck; with contrast material(s)"
70492,1467763458,,"Computed tomography, soft tissue neck; without contrast material followed by contrast material(s) and further sections"
70496,1467763458,,"Computed tomographic angiography, head, with contrast material(s), including noncontrast images, if performed, and image postprocessing"
70498,1467763458,,"Computed tomographic angiography, neck, with contrast material(s), including noncontrast images, if performed, and image postprocessing"
70540,1467763458,,"Magnetic resonance (eg, proton) imaging, orbit, face, and/or neck; without contrast material(s)"
70542,1467763458,,"Magnetic resonance (eg, proton) imaging, orbit, face, and/or neck; with contrast material(s)"
