code,npi_number,short_description,long_description
0003M,1811086994,,"Liver disease, ten biochemical assays (ALT, A2-macroglobulin, apolipoprotein A-1, total bilirubin, GGT, haptoglobin, AST, glucose, total cholesterol and triglycerides) utilizing serum, prognostic algorithm reported as quantitative scores for fibrosis, steatosis and nonalcoholic steatohepatitis (NASH)"
0055T,1811086994,,"Computer-assisted musculoskeletal surgical navigational orthopedic procedure, with image-guidance based on CT/MRI images (List separately in addition to code for primary procedure)"
00940,1811086994,,"Anesthesia for vaginal procedures (including biopsy of labia, vagina, cervix or endometrium); not otherwise specified"
10005,1811086994,,"Fine needle aspiration biopsy, including ultrasound guidance; first lesion"
10006,1811086994,,"Fine needle aspiration biopsy, including ultrasound guidance; each additional lesion (List separately in addition to code for primary procedure)"
10007,1811086994,,"Fine needle aspiration biopsy, including fluoroscopic guidance; first lesion"
10021,1811086994,,"Fine needle aspiration biopsy, without imaging guidance; first lesion"
10060,1811086994,,"Incision and drainage of abscess (eg, carbuncle, suppurative hidradenitis, cutaneous or subcutaneous abscess, cyst, furuncle, or paronychia); simple or single"
10061,1811086994,,"Incision and drainage of abscess (eg, carbuncle, suppurative hidradenitis, cutaneous or subcutaneous abscess, cyst, furuncle, or paronychia); complicated or multiple"
10080,1811086994,,Incision and drainage of pilonidal cyst; simple
10120,1811086994,,"Incision and removal of foreign body, subcutaneous tissues; simple"
10140,1811086994,,"Incision and drainage of hematoma, seroma or fluid collection"
10160,1811086994,,"Puncture aspiration of abscess, hematoma, bulla, or cyst"
10180,1811086994,,"Incision and drainage, complex, postoperative wound infection"
11042,1811086994,,"Debridement, subcutaneous tissue (includes epidermis and dermis, if performed); first 20 sq cm or less"
11043,1811086994,,"Debridement, muscle and/or fascia (includes epidermis, dermis, and subcutaneous tissue, if performed); first 20 sq cm or less"
11044,1811086994,,"Debridement, bone (includes epidermis, dermis, subcutaneous tissue, muscle and/or fascia, if performed); first 20 sq cm or less"
11046,1811086994,,"Debridement, muscle and/or fascia (includes epidermis, dermis, and subcutaneous tissue, if performed); each additional 20 sq cm, or part thereof (List separately in addition to code for primary procedure)"
11200,1811086994,,"Removal of skin tags, multiple fibrocutaneous tags, any area; up to and including 15 lesions"
11303,1811086994,,"Shaving of epidermal or dermal lesion, single lesion, trunk, arms or legs; lesion diameter over 2.0 cm"
11400,1811086994,,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, arms or legs; excised diameter 0.5 cm or less"
11401,1811086994,,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, arms or legs; excised diameter 0.6 to 1.0 cm"
11402,1811086994,,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, arms or legs; excised diameter 1.1 to 2.0 cm"
11420,1811086994,,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; excised diameter 0.5 cm or less"
11426,1811086994,,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; excised diameter over 4.0 cm"
11730,1811086994,,"Avulsion of nail plate, partial or complete, simple; single"
11750,1811086994,,"Excision of nail and nail matrix, partial or complete (eg, ingrown or deformed nail), for permanent removal;"
11760,1811086994,,Repair of nail bed
11765,1811086994,,"Wedge excision of skin of nail fold (eg, for ingrown toenail)"
11770,1811086994,,Excision of pilonidal cyst or sinus; simple
12001,1811086994,,"Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 2.5 cm or less"
12002,1811086994,,"Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 2.6 cm to 7.5 cm"
12004,1811086994,,"Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 7.6 cm to 12.5 cm"
12005,1811086994,,"Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 12.6 cm to 20.0 cm"
12006,1811086994,,"Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 20.1 cm to 30.0 cm"
12011,1811086994,,"Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 2.5 cm or less"
12013,1811086994,,"Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 2.6 cm to 5.0 cm"
12014,1811086994,,"Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 5.1 cm to 7.5 cm"
12015,1811086994,,"Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 7.6 cm to 12.5 cm"
12016,1811086994,,"Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 12.6 cm to 20.0 cm"
12020,1811086994,,Treatment of superficial wound dehiscence; simple closure
12031,1811086994,,"Repair, intermediate, wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet); 2.5 cm or less"
12032,1811086994,,"Repair, intermediate, wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet); 2.6 cm to 7.5 cm"
12034,1811086994,,"Repair, intermediate, wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet); 7.6 cm to 12.5 cm"
12035,1811086994,,"Repair, intermediate, wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet); 12.6 cm to 20.0 cm"
12042,1811086994,,"Repair, intermediate, wounds of neck, hands, feet and/or external genitalia; 2.6 cm to 7.5 cm"
12045,1811086994,,"Repair, intermediate, wounds of neck, hands, feet and/or external genitalia; 12.6 cm to 20.0 cm"
12054,1811086994,,"Repair, intermediate, wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 7.6 cm to 12.5 cm"
13131,1811086994,,"Repair, complex, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; 1.1 cm to 2.5 cm"
13132,1811086994,,"Repair, complex, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; 2.6 cm to 7.5 cm"
16020,1811086994,,"Dressings and/or debridement of partial-thickness burns, initial or subsequent; small (less than 5% total body surface area)"
16025,1811086994,,"Dressings and/or debridement of partial-thickness burns, initial or subsequent; medium (eg, whole face or whole extremity, or 5% to 10% total body surface area)"
19083,1811086994,,"Biopsy, breast, with placement of breast localization device(s) (eg, clip, metallic pellet), when performed, and imaging of the biopsy specimen, when performed, percutaneous; first lesion, including ultrasound guidance"
20552,1811086994,,"Injection(s); single or multiple trigger point(s), 1 or 2 muscle(s)"
20600,1811086994,,"Arthrocentesis, aspiration and/or injection, small joint or bursa (eg, fingers, toes); without ultrasound guidance"
20610,1811086994,,"Arthrocentesis, aspiration and/or injection, major joint or bursa (eg, shoulder, hip, knee, subacromial bursa); without ultrasound guidance"
20611,1811086994,,"Arthrocentesis, aspiration and/or injection, major joint or bursa (eg, shoulder, hip, knee, subacromial bursa); with ultrasound guidance, with permanent recording and reporting"
20680,1811086994,,"Removal of implant; deep (eg, buried wire, pin, screw, metal band, nail, rod or plate)"
20692,1811086994,,"Application of a multiplane (pins or wires in more than 1 plane), unilateral, external fixation system (eg, Ilizarov, Monticelli type)"
20985,1811086994,,"Computer-assisted surgical navigational procedure for musculoskeletal procedures, image-less (List separately in addition to code for primary procedure)"
23410,1811086994,,"Repair of ruptured musculotendinous cuff (eg, rotator cuff) open; acute"
23412,1811086994,,"Repair of ruptured musculotendinous cuff (eg, rotator cuff) open; chronic"
23472,1811086994,,"Arthroplasty, glenohumeral joint; total shoulder (glenoid and proximal humeral replacement (eg, total shoulder))"
23515,1811086994,,"Open treatment of clavicular fracture, includes internal fixation, when performed"
23650,1811086994,,"Closed treatment of shoulder dislocation, with manipulation; without anesthesia"
23655,1811086994,,"Closed treatment of shoulder dislocation, with manipulation; requiring anesthesia"
23665,1811086994,,"Closed treatment of shoulder dislocation, with fracture of greater humeral tuberosity, with manipulation"
24076,1811086994,,"Excision, tumor, soft tissue of upper arm or elbow area, subfascial (eg, intramuscular); less than 5 cm"
24105,1811086994,,"Excision, olecranon bursa"
24200,1811086994,,"Removal of foreign body, upper arm or elbow area; subcutaneous"
24370,1811086994,,"Revision of total elbow arthroplasty, including allograft when performed; humeral or ulnar component"
24505,1811086994,,"Closed treatment of humeral shaft fracture; with manipulation, with or without skeletal traction"
24600,1811086994,,Treatment of closed elbow dislocation; without anesthesia
24605,1811086994,,Treatment of closed elbow dislocation; requiring anesthesia
24640,1811086994,,"Closed treatment of radial head subluxation in child, nursemaid elbow, with manipulation"
24655,1811086994,,Closed treatment of radial head or neck fracture; with manipulation
24675,1811086994,,"Closed treatment of ulnar fracture, proximal end (eg, olecranon or coronoid process[es]); with manipulation"
24685,1811086994,,"Open treatment of ulnar fracture, proximal end (eg, olecranon or coronoid process[es]), includes internal fixation, when performed"
25065,1811086994,,"Biopsy, soft tissue of forearm and/or wrist; superficial"
25101,1811086994,,"Arthrotomy, wrist joint; with joint exploration, with or without biopsy, with or without removal of loose or foreign body"
25111,1811086994,,"Excision of ganglion, wrist (dorsal or volar); primary"
25447,1811086994,,"Arthroplasty, interposition, intercarpal or carpometacarpal joints"
25505,1811086994,,Closed treatment of radial shaft fracture; with manipulation
25545,1811086994,,"Open treatment of ulnar shaft fracture, includes internal fixation, when performed"
25565,1811086994,,Closed treatment of radial and ulnar shaft fractures; with manipulation
25575,1811086994,,"Open treatment of radial AND ulnar shaft fractures, with internal fixation, when performed; of radius AND ulna"
