Link, Anchor Text
http://www.lifepointhealth.net/home, 
http://www.lifepointhealth.net/locations#, PROVIDER OPPORTUNITIES
http://www.lifepointhealth.net/who-we-are/our-company/mission-vision-values-and-high-five-guiding-principles, 
http://www.lifepointhealth.net/who-we-are/our-company/giving-quality-a-voice, 
http://www.lifepointhealth.net/who-we-are/our-company/how-we-operate, 
http://www.lifepointhealth.net/who-we-are/our-company/leadership, 
http://www.lifepointhealth.net/who-we-are/our-company/awards, 
http://www.lifepointhealth.net/20, 
http://www.lifepointhealth.net/who-we-are/our-communities/explore-our-communities, 
http://www.lifepointhealth.net/who-we-are/our-partnerships/partnering-to-build-healthier-communities, 
http://www.lifepointhealth.net/who-we-are/our-partnerships/duke-lifepoint-healthcare, 
http://www.lifepointhealth.net/who-we-are/our-partnerships/emory-healthcare, 
http://www.lifepointhealth.net/who-we-are/our-partnerships/lhc-group, 
http://www.lifepointhealth.net/who-we-are/our-partnerships/regional-health-network, 
http://www.lifepointhealth.net/who-we-are/our-partnerships/uw-medicine, 
http://www.lifepointhealth.net/who-we-are/our-partnerships/billings-clinic, 
http://www.lifepointhealth.net/making-communities-healthier/communities/explore-our-communities, 
http://www.lifepointhealth.net/making-communities-healthier/our-communities/engaging-our-communities, 
http://www.lifepointhealth.net/making-communities-healthier/communities/our-communities-in-the-news, 
http://www.lifepointhealth.net/making-communities-healthier/growth-and-development/building-healthier-communities, 
http://www.lifepointhealth.net/making-communities-healthier/growth-and-development/success-stories, 
http://www.lifepointhealth.net/making-communities-healthier/growth-and-development/our-partnerships, 
http://www.lifepointhealth.net/making-communities-healthier/social-responsibility/at-the-health-support-center, 
http://www.lifepointhealth.net/making-communities-healthier/social-responsibility/lifecare-etc, 
http://www.lifepointhealth.net/making-communities-healthier/social-responsibility/sustainability-report, 
http://www.lifepointhealth.net/join-our-team/where-employees-want-to-work/employee-spotlight, 
http://www.lifepointhealth.net/join-our-team/where-employees-want-to-work/professional-development, 
http://www.lifepointhealth.net/join-our-team/where-employees-want-to-work/awards, 
http://www.lifepointhealth.net/join-our-team/explore-current-opportunities/current-opportunities, 
http://www.lifepointhealth.net/physician-opportunities/physician-collaboration/our-approach, 
http://www.lifepointhealth.net/physician-opportunities/physician-collaboration/national-physician-advisory-board, 
http://www.lifepointhealth.net/physician-opportunities/current-opportunities/current-opportunities, 
http://www.lifepointhealth.net/physician-opportunities/current-opportunities/contact-our-team, 
http://www.lifepointhealth.net/news, NEWS
http://www.lifepointhealth.net/contact, CONTACT
"https://maps.google.com/maps?ll=40.437541,-95.690918&z=4&hl=en-US&gl=US&mapclient=apiv3", 
https://www.google.com/intl/en-US_US/help/terms_maps.html, Terms of Use
"https://www.google.com/maps/@40.437541,-95.690918,4z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3", Report a map error
http://www.lifepointhealth.net/making-communities-healthier/communities/andalusia-regional-hospital?loc=fc7532b0-41e1-4790-8b61-fbb879214ff4, Location Details
tel:334.222.8466, Phone: 334.222.8466
http://www.lifepointhealth.net/making-communities-healthier/communities/north-alabama-medical-center?loc=b15c36d0-2db4-4cc6-bf98-7afeec36e55a, Location Details
tel:256.629.1000, Phone: 256.629.1000
http://www.lifepointhealth.net/making-communities-healthier/communities/shoals-hospital?loc=d138dcc0-c25e-4cf1-8a0e-5597fd3c04c6, Location Details
tel:256.768.8323, Phone: 256.768.8323
http://www.lifepointhealth.net/making-communities-healthier/communities/vaughan-regional-medical-center?loc=5e3ff72a-1a21-41ff-9d27-5c2e7ef7f6fa, Location Details
tel:334.418.4100, Phone: 334.418.4100
http://www.lifepointhealth.net/making-communities-healthier/communities/canyon-vista-medical-center?loc=87de0f7d-673c-4afa-8272-c32992b7114f, Location Details
tel:520.263.2000, Phone: 520.263.2000
