code,npi_number,payer,IP_OP,caveat,mode,price
93010,1063713659,ADVANTAGE BY BUCKEYE - (Medicaid),UNSPECIFIED,NONE,EXPECTED,8.5
93010,1063713659,AETNA - (HMO),UNSPECIFIED,NONE,EXPECTED,10.333333
93010,1063713659,AETNA - (POS),UNSPECIFIED,NONE,EXPECTED,8.5
93010,1063713659,AETNA - (PPO),UNSPECIFIED,NONE,EXPECTED,8.5
93010,1063713659,ANTHEM BLUE CROSS AND BLUE SHIELD - (PPO),UNSPECIFIED,NONE,EXPECTED,9.16
93010,1063713659,BCBS FEP - (PPO),UNSPECIFIED,NONE,EXPECTED,8.5
93010,1063713659,BUCKEYE COMMUNITY HEALTH PLAN - (HMO),UNSPECIFIED,NONE,EXPECTED,7.9
93010,1063713659,BUCKEYE COMMUNITY HEALTH PLAN - (Medicaid),UNSPECIFIED,NONE,EXPECTED,7.9
93010,1063713659,CARESOURCE - (Medicaid),UNSPECIFIED,NONE,EXPECTED,7.9
93010,1063713659,CARESOURCE OHIO - (Indemnity),UNSPECIFIED,NONE,EXPECTED,8.5
93010,1063713659,CIGNA HEALTH AND LIFE INSURANCE COMPANY - (POS),UNSPECIFIED,NONE,EXPECTED,10.17
93010,1063713659,GREATWESTHEALTHCARE-CIGNA - (POS),UNSPECIFIED,NONE,EXPECTED,10.17
93010,1063713659,MED MUT MCARE - (PPO),UNSPECIFIED,NONE,EXPECTED,8.5
93010,1063713659,MED MUTUAL - (PPO),UNSPECIFIED,NONE,EXPECTED,9.16
93010,1063713659,MEDICAL MUTUAL - (PPO),UNSPECIFIED,NONE,EXPECTED,8.5
93010,1063713659,MEDICAL MUTUAL OF OHIO - (PPO),UNSPECIFIED,NONE,EXPECTED,8.5
93010,1063713659,OHIO DEPARTMENT OF MEDICAID - (Medicaid),UNSPECIFIED,NONE,EXPECTED,7.9
93010,1063713659,TRIWEST HEALTHCARE ALLIANCE - (Indemnity),UNSPECIFIED,NONE,EXPECTED,8.5
93010,1063713659,UMR - (PPO),UNSPECIFIED,NONE,EXPECTED,6.25
93010,1063713659,UMR AHRESTY WILMINGTON CORPORATION - (PPO),UNSPECIFIED,NONE,EXPECTED,6.25
93010,1063713659,UMR COMPASS ROSE BENEFITS GROUP - (PPO),UNSPECIFIED,NONE,EXPECTED,6.25
93010,1063713659,UMR YUSA CORPORATION - (PPO),UNSPECIFIED,NONE,EXPECTED,6.25
93010,1063713659,UNITED HEALTHCARE INSURANCE COMPANY - (HMO-MR),UNSPECIFIED,NONE,EXPECTED,7.65
93010,1063713659,UNITED HEALTHCARE INSURANCE COMPANY - (POS),UNSPECIFIED,NONE,EXPECTED,6.25
93010,1063713659,UNITEDHEALTHCARE COMMUNITY PLAN OF OH DUAL - (HMO),UNSPECIFIED,NONE,EXPECTED,7.65
93010,1063713659,UNITEDHEALTHCARE COMMUNITY PLAN OF OHIO INC - (Medicaid),UNSPECIFIED,NONE,EXPECTED,8.3
93016,1063713659,AETNA - (POS),UNSPECIFIED,NONE,EXPECTED,22.28
93016,1063713659,BUCKEYE COMMUNITY HEALTH PLAN - (Medicaid),UNSPECIFIED,NONE,EXPECTED,20.97
