code,npi_number,payer,IP_OP,caveat,mode,price
80048,1699096552,BLUE CROSS BLUE SHIELD OF ALABAMA - (Indemnity),UNSPECIFIED,NONE,EXPECTED,7.48
80048,1699096552,BLUE CROSS BLUE SHIELD OF ALABAMA - (PPO),UNSPECIFIED,NONE,EXPECTED,7.11
80050,1699096552,BLUE CROSS BLUE SHIELD OF ALABAMA - (Indemnity),UNSPECIFIED,NONE,EXPECTED,25.24
80050,1699096552,BLUE CROSS BLUE SHIELD OF ALABAMA - (PPO),UNSPECIFIED,NONE,EXPECTED,25.24
80053,1699096552,BLUE CROSS BLUE SHIELD OF ALABAMA - (Indemnity),UNSPECIFIED,NONE,EXPECTED,9.34
80053,1699096552,BLUE CROSS BLUE SHIELD OF ALABAMA - (PPO),UNSPECIFIED,NONE,EXPECTED,8.87
80061,1699096552,BLUE CROSS BLUE SHIELD OF ALABAMA - (Indemnity),UNSPECIFIED,NONE,EXPECTED,10.06
80061,1699096552,BLUE CROSS BLUE SHIELD OF ALABAMA - (PPO),UNSPECIFIED,NONE,EXPECTED,9.56
80076,1699096552,BLUE CROSS BLUE SHIELD OF ALABAMA - (Indemnity),UNSPECIFIED,NONE,EXPECTED,7.22
80076,1699096552,BLUE CROSS BLUE SHIELD OF ALABAMA - (PPO),UNSPECIFIED,NONE,EXPECTED,6.86
80197,1699096552,BLUE CROSS BLUE SHIELD OF ALABAMA - (Indemnity),UNSPECIFIED,NONE,EXPECTED,9.63
80197,1699096552,BLUE CROSS BLUE SHIELD OF ALABAMA - (PPO),UNSPECIFIED,NONE,EXPECTED,9.15
80202,1699096552,BLUE CROSS BLUE SHIELD OF ALABAMA - (Indemnity),UNSPECIFIED,NONE,EXPECTED,11.99
80202,1699096552,BLUE CROSS BLUE SHIELD OF ALABAMA - (PPO),UNSPECIFIED,NONE,EXPECTED,11.39
80299,1699096552,BLUE CROSS BLUE SHIELD OF ALABAMA - (Indemnity),UNSPECIFIED,NONE,EXPECTED,12.12
80299,1699096552,BLUE CROSS BLUE SHIELD OF ALABAMA - (PPO),UNSPECIFIED,NONE,EXPECTED,11.51
80307,1699096552,BLUE CROSS BLUE SHIELD OF ALABAMA - (Indemnity),UNSPECIFIED,NONE,EXPECTED,51.88
80307,1699096552,BLUE CROSS BLUE SHIELD OF ALABAMA - (PPO),UNSPECIFIED,NONE,EXPECTED,6.99
81001,1699096552,BLUE CROSS BLUE SHIELD OF ALABAMA - (Indemnity),UNSPECIFIED,NONE,EXPECTED,2.8
81001,1699096552,BLUE CROSS BLUE SHIELD OF ALABAMA - (PPO),UNSPECIFIED,NONE,EXPECTED,2.66
82043,1699096552,BLUE CROSS BLUE SHIELD OF ALABAMA - (Indemnity),UNSPECIFIED,NONE,EXPECTED,5.12
